N_value,P_value,K_value,Fertilizer
0.53,         28.00,         0.46,         90
1.88,         17.00,         0.66,         50
1.07,         25.00,         0.72,         50
1.21,         20.00,         0.70,         50
0.35,         22.00,         0.30,         90
2.18,         29.00,         0.61,         10
2.13,         16.00,         0.63,         20
1.03,         19.00,         0.19,         60
1.42,         23.00,         0.31,         40
0.63,         27.00,         0.29,         90
1.96,         21.00,         0.62,         50
1.35,         22.00,         0.54,         40
1.99,         28.00,         0.43,         40
1.23,         24.00,         0.19,         60
1.84,         21.00,         0.25,         60
1.70,         27.00,         0.54,         40
1.59,         25.00,         0.43,         40
0.65,         19.00,         0.15,         110
0.96,         17.00,         0.63,         90
0.60,         25.00,         0.26,         90
1.53,         15.00,         0.61,         50
0.47,         22.00,         0.59,         100
1.31,         15.00,         0.24,         35
2.24,         25.00,         0.62,         10
0.69,         16.00,         0.67,         90
1.55,         25.00,         0.42,         40
1.48,         16.00,         0.28,         35
1.36,         18.00,         0.33,         40
1.71,         19.00,         0.73,         50
1.20,         15.00,         0.72,         50
2.18,         22.00,         0.45,         25
0.57,         17.00,         0.66,         90
0.72,         20.00,         0.39,         80
0.79,         26.00,         0.15,         90
0.86,         28.00,         0.21,         90
0.31,         25.00,         0.38,         100
2.18,         16.00,         0.15,         50
0.70,         17.00,         0.72,         90
0.95,         16.00,         0.56,         80
2.24,         23.00,         0.58,         25
2.24,         4.00,         0.51,         30
2.32,         15.00,         0.56,         20
1.57,         4.00,         0.64,         50
1.75,         16.00,         0.41,         40
2.35,         21.00,         0.63,         10
1.23,         25.00,         0.48,         40
0.37,         0.00,         0.36,         120
2.14,         22.00,         0.71,         10
1.96,         27.00,         0.40,         40
1.58,         15.00,         0.35,         40
1.07,         13.00,         0.23,         35
0.63,         26.00,         0.33,         90
1.90,         27.00,         0.46,         40
1.90,         29.00,         0.21,         40
1.52,         22.00,         0.23,         60
0.34,         10.00,         0.63,         100
1.51,         23.00,         0.19,         60
2.00,         27.00,         0.15,         60
1.39,         6.00,         0.47,         45
0.68,         5.00,         0.49,         60
1.45,         11.00,         0.22,         35
2.22,         25.00,         0.23,         30
2.32,         24.00,         0.23,         30
1.01,         0.00,         0.36,         55
0.96,         2.00,         0.47,         110
1.52,         19.00,         0.64,         50
1.99,         15.00,         0.69,         50
2.13,         19.00,         0.35,         20
1.01,         14.00,         0.24,         35
0.68,         10.00,         0.50,         80
1.01,         26.00,         0.37,         40
1.39,         2.00,         0.52,         55
0.45,         28.00,         0.56,         100
0.98,         8.00,         0.63,         90
0.72,         18.00,         0.20,         110
0.49,         25.00,         0.20,         110
1.93,         26.00,         0.42,         40
2.30,         26.00,         0.55,         25
1.42,         3.00,         0.13,         60
2.09,         8.00,         0.23,         35
1.32,         15.00,         0.25,         35
1.77,         19.00,         0.46,         40
1.84,         15.00,         0.36,         40
0.65,         17.00,         0.55,         80
1.02,         0.00,         0.32,         55
1.35,         7.00,         0.54,         45
1.78,         23.00,         0.33,         40
0.82,         19.00,         0.66,         90
0.62,         5.00,         0.48,         60
0.50,         18.00,         0.29,         60
1.10,         9.00,         0.56,         40
1.24,         1.00,         0.64,         60
0.43,         6.00,         0.60,         100
0.71,         7.00,         0.72,         100
2.39,         0.00,         0.33,         50
0.85,         23.00,         0.19,         90
1.69,         29.00,         0.27,         60
1.27,         26.00,         0.22,         60
0.66,         2.00,         0.62,         100
0.54,         20.00,         0.56,         80
2.23,         15.00,         0.25,         30
0.61,         0.00,         0.45,         110
2.14,         25.00,         0.44,         25
0.32,         13.00,         0.59,         100
1.26,         1.00,         0.16,         90
0.30,         19.00,         0.33,         100
0.33,         0.00,         0.73,         100
0.58,         4.00,         0.65,         100
1.17,         12.00,         0.37,         40
2.38,         22.00,         0.50,         25
1.13,         2.00,         0.58,         55
1.11,         15.00,         0.62,         50
1.83,         16.00,         0.69,         50
1.11,         12.00,         0.66,         50
1.99,         8.00,         0.24,         35
1.97,         5.00,         0.67,         50
2.15,         18.00,         0.19,         50
1.78,         24.00,         0.53,         40
0.91,         0.00,         0.63,         100
1.12,         2.00,         0.33,         55
2.02,         19.00,         0.38,         40
2.26,         1.00,         0.30,         50
1.87,         14.00,         0.57,         40
1.40,         25.00,         0.41,         40
1.06,         12.00,         0.16,         60
0.57,         11.00,         0.45,         80
1.76,         16.00,         0.50,         40
2.18,         16.00,         0.69,         20
1.93,         2.00,         0.12,         90
0.71,         25.00,         0.66,         80
1.74,         16.00,         0.42,         40
0.89,         26.00,         0.26,         90
0.32,         10.00,         0.14,         110
1.95,         28.00,         0.27,         60
1.75,         29.00,         0.51,         40
1.15,         16.00,         0.49,         40
2.14,         9.00,         0.49,         20
0.95,         8.00,         0.21,         60
2.17,         23.00,         0.28,         30
0.65,         0.00,         0.58,         110
0.78,         9.00,         0.58,         80
